FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  212249  47  12.0750 N  60  42.3450 W   2.5        3.0       11.8*       8.1        8.7      113.9*
050916  212251  47  12.0740 N  60  42.3460 W   1.4        3.0       11.8        8.1        8.7      113.9 
050916  212254  47  12.0720 N  60  42.3480 W   2.1        3.0       11.8        8.1        8.6*     109.1*
050916  212255  47  12.0720 N  60  42.3480 W   1.6        3.0       11.8        8.1        8.6      109.1 
050916  212257  47  12.0710 N  60  42.3480 W   2.3        3.0       11.8        8.1        8.6      109.1 
050916  212300  47  12.0700 N  60  42.3490 W   1.8        3.0       11.8        8.1        8.3*     112.2*
050916  212301  47  12.0690 N  60  42.3500 W   2.4        3.0       11.5*       8.1        8.3      112.2 
050916  212303  47  12.0680 N  60  42.3510 W   1.8        3.0       11.5        8.1        8.9*     112.2 
050916  212306  47  12.0670 N  60  42.3520 W   2.3        3.0       11.5        8.1        8.9      112.2*
050916  212307  47  12.0660 N  60  42.3530 W   1.9        3.0       11.5        8.1        8.9      112.2 
050916  212309  47  12.0660 N  60  42.3520 W   2.4        3.0       11.5        8.1        8.9*     112.2 
050916  212312  47  12.0650 N  60  42.3530 W   2.4        3.0       11.5        8.1        8.9      111.7*
050916  212313  47  12.0640 N  60  42.3530 W   2.0        3.0       11.3*       8.1        9.1*     111.7 
050916  212315  47  12.0630 N  60  42.3540 W   1.8        3.0       11.3        8.1        9.1      111.3*
050916  212318  47  12.0610 N  60  42.3560 W   2.4        3.0       11.3        8.1        9.1      111.3 
050916  212319  47  12.0600 N  60  42.3560 W   1.6        3.0       11.3        8.1        8.3*     111.3 
050916  212321  47  12.0590 N  60  42.3570 W   2.4        3.0       11.3        8.1        8.3      111.7*
050916  212324  47  12.0570 N  60  42.3580 W   1.8        3.0       11.3        8.1        8.3      111.7 
050916  212325  47  12.0570 N  60  42.3580 W   2.8        3.0       10.8*       8.1        8.8*     111.7 
050916  212327  47  12.0560 N  60  42.3590 W   1.4        3.0       10.8        8.1        8.8      111.3*
050916  212330  47  12.0550 N  60  42.3600 W   1.9        3.0       10.8        8.1        9.2*     111.3 
050916  212331  47  12.0540 N  60  42.3600 W   1.9        3.0       10.8        8.1        9.2      110.8*
050916  212333  47  12.0530 N  60  42.3610 W   2.0        3.0       10.8        8.1        9.2      110.8 
