FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202656  46  54.1230 N  61  14.4810 W   2.0       11.4       10.9        0.0       10.5       68.6 
050917  202658  46  54.1220 N  61  14.4800 W   1.9       11.4       10.9        0.0       10.5       65.1*
050917  202700  46  54.1210 N  61  14.4790 W   2.3       11.4       10.9        0.0       10.5*      65.1 
050917  202702  46  54.1200 N  61  14.4790 W   2.1       11.4       10.9        0.0       10.5       65.1 
050917  202704  46  54.1190 N  61  14.4780 W   1.9       11.4       10.9        0.0       10.5       66.9*
050917  202706  46  54.1180 N  61  14.4770 W   2.3       11.4       10.9        0.0        9.9*      66.9 
050917  202708  46  54.1170 N  61  14.4760 W   2.2       11.4       10.9        0.0        9.9       65.1*
050917  202710  46  54.1160 N  61  14.4750 W   2.2       11.4       10.9        0.0       10.5*      65.1 
050917  202712  46  54.1150 N  61  14.4740 W   2.1       11.4       10.9        0.0       10.5       65.1 
050917  202714  46  54.1140 N  61  14.4730 W   2.5       11.4       10.9        0.0       10.5       65.1*
050917  202716  46  54.1130 N  61  14.4730 W   2.0       11.4       10.9        0.0        9.8*      65.1 
050917  202718  46  54.1120 N  61  14.4720 W   2.0       11.4       10.9        0.0        9.8       65.1 
050917  202720  46  54.1110 N  61  14.4710 W   2.0       11.4       10.9        0.0        9.8       66.4*
050917  202722  46  54.1100 N  61  14.4700 W   2.4       11.4       10.9        0.0        9.8*      66.4 
050917  202724  46  54.1090 N  61  14.4690 W   1.9       11.4       10.9        0.0        9.8       64.2*
050917  202726  46  54.1080 N  61  14.4680 W   2.1       11.4       10.9        0.0        9.8*      64.2 
050917  202728  46  54.1070 N  61  14.4670 W   2.1       11.4       10.9        0.0        9.8       64.2 
050917  202730  46  54.1060 N  61  14.4660 W   2.0       11.4       10.9        0.0        9.8       66.4*
050917  202732  46  54.1050 N  61  14.4650 W   1.8       11.4       10.9        0.0        9.9*      66.4 
050917  202734  46  54.1050 N  61  14.4640 W   2.0       11.4       10.9        0.0        9.9       66.4 
050917  202736  46  54.1040 N  61  14.4630 W   2.0       11.4       10.9        0.0        9.9       63.3*
050917  202738  46  54.1030 N  61  14.4620 W   1.9       11.4       10.9        0.0        9.9       63.3 
050917  202740  46  54.1020 N  61  14.4620 W   1.9       11.4       10.9        0.0        9.9       64.7*
050917  202742  46  54.1010 N  61  14.4610 W   1.9       11.4       10.9        0.0       13.1*      64.7 
050917  202744  46  54.1000 N  61  14.4600 W   1.9       11.4       10.9        0.0       13.1       64.7 
050917  202746  46  54.0990 N  61  14.4590 W   1.9       11.4       10.9        0.0       13.1       65.5*
050917  202748  46  54.0980 N  61  14.4590 W   2.1       11.4       10.9        0.0        7.7*      65.5 
050917  202750  46  54.0970 N  61  14.4570 W   2.0       11.4       10.9        0.0        7.7       64.7*
050917  202754  46  54.0950 N  61  14.4560 W   2.0       11.4       10.9        0.0       10.7*      64.7 
050917  202756  46  54.0940 N  61  14.4550 W   2.0       11.4       10.9        0.0       10.7       67.3*
050917  202758  46  54.0930 N  61  14.4550 W   1.8       11.4       10.9        0.0       10.1*      67.3 
050917  202800  46  54.0920 N  61  14.4540 W   1.7       11.4       10.9        0.0       10.1       67.3 
050917  202802  46  54.0920 N  61  14.4540 W   1.0       11.4       10.9        0.0       10.1       86.2*
050917  202804  46  54.0910 N  61  14.4540 W   1.2       11.4       10.9        0.0       10.1       86.2 
050917  202806  46  54.0910 N  61  14.4540 W   0.2       11.4       10.9        0.0       10.1       86.2 
050917  202808  46  54.0900 N  61  14.4530 W   1.3       11.4       10.9        0.0       10.1       92.8*
050917  202810  46  54.0900 N  61  14.4530 W   0.6       11.4       10.9        0.0       10.1       92.8 
050917  202812  46  54.0900 N  61  14.4530 W   0.5       11.4       10.9        0.0       10.1       30.8*
050917  202814  46  54.0890 N  61  14.4530 W   0.7       11.4       10.9        0.0        8.5*      30.8 
050917  202816  46  54.0890 N  61  14.4530 W   0.1       11.4       10.9        0.0        8.5       30.8 
050917  202818  46  54.0890 N  61  14.4520 W   0.8       11.4       10.9        0.0        8.5       30.8 
050917  202820  46  54.0890 N  61  14.4530 W   0.1       11.4       10.9        0.0        5.6*      30.8 
050917  202822  46  54.0890 N  61  14.4530 W   0.5       11.4       10.9        0.0        5.6       30.8 
050917  202824  46  54.0890 N  61  14.4530 W   0.0       11.4       10.9        0.0        5.6       30.8 
